2026-03-28 09:39:48,802 INFO [22-915] Brief 43/72 saved → data\22-915\json\20230821_amicus_Houston_Area_Womenâs_Center_2ed581.json
2026-03-28 09:39:50,845 INFO [22-915] Brief 44/72 saved → data\22-915\json\20230821_amicus_Everytown_Gun_Safety_d73248.json
2026-03-28 09:39:52,778 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,786 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,793 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,798 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,804 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,809 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,814 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,820 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,826 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,831 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,836 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,844 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,850 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,857 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,863 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,869 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,875 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,882 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,888 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,897 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,904 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,911 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,919 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,926 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,942 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,949 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,956 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,963 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,969 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,976 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,984 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,991 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:52,997 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:53,003 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:53,010 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:53,017 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:53,024 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:53,032 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:53,039 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:53,044 WARNING CropBox missing from /Page, defaulting to MediaBox
2026-03-28 09:39:53,049 INFO [22-915] Brief 45/72 saved → data\22-915\json\20230821_amici_Prosecutor_Law_Enforcement_Associations_66b68c.json
